------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4102  |     0.7178  |   0.6684  |               |              8.5329  |
|          |      1  |      1.2178  |     0.8379  |   0.7753  |               |              8.9359  |
|          |      2  |      1.2158  |     0.8350  |   0.7644  |               |              9.3397  |
|          |      3  |      1.1768  |     0.8486  |   0.8159  |               |              9.7119  |
|          |      4  |      1.1387  |     0.8643  |   0.7954  |               |             10.0820  |
|          |      5  |      1.1045  |     0.8867  |   0.8606  |               |             10.4543  |
|          |      6  |      1.0361  |     0.9199  |   0.8793  |               |             10.8262  |
|          |      7  |      1.0283  |     0.9248  |   0.8966  |               |             11.1974  |
|          |      8  |      0.9668  |     0.9668  |   0.9174  |               |             11.5683  |
|          |      9  |      0.9365  |     0.9805  |   0.9339  |               |             11.9091  |
|          |   eval  |      0.9365  |     0.9805  |   0.9339  |       0.9400  |             12.0753  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4385  |     0.6924  |   0.6238  |               |              0.4997  |
|          |      1  |      1.2666  |     0.8027  |   0.7779  |               |              0.9045  |
|          |      2  |      1.1836  |     0.8584  |   0.7932  |               |              1.3087  |
|          |      3  |      1.1572  |     0.8525  |   0.8216  |               |              1.6830  |
|          |      4  |      1.1816  |     0.8320  |   0.8541  |               |              2.0543  |
|          |      5  |      1.0986  |     0.8770  |   0.8121  |               |              2.4272  |
|          |      6  |      1.0518  |     0.9072  |   0.8934  |               |              2.7993  |
|          |      7  |      1.0049  |     0.9434  |   0.9016  |               |              3.1716  |
|          |      8  |      0.9707  |     0.9629  |   0.9204  |               |              3.5437  |
|          |      9  |      0.9429  |     0.9805  |   0.9330  |               |              3.8853  |
|          |   eval  |      0.9429  |     0.9805  |   0.9330  |       0.9388  |              4.0516  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4180  |     0.7090  |   0.6859  |               |              0.4954  |
|          |      1  |      1.2441  |     0.8271  |   0.6298  |               |              0.8999  |
|          |      2  |      1.1846  |     0.8477  |   0.8259  |               |              1.3055  |
|          |      3  |      1.1543  |     0.8525  |   0.8022  |               |              1.6780  |
|          |      4  |      1.1211  |     0.8828  |   0.8093  |               |              2.0510  |
|          |      5  |      1.0957  |     0.8916  |   0.8392  |               |              2.4237  |
