------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4141  |     0.7246  |   0.6144  |               |              8.6487  |
|          |      1  |      1.2549  |     0.8105  |   0.7275  |               |              9.0498  |
|          |      2  |      1.2490  |     0.8203  |   0.7207  |               |              9.4533  |
|          |      3  |      1.1416  |     0.8750  |   0.8539  |               |              9.8253  |
|          |      4  |      1.1143  |     0.8848  |   0.8575  |               |             10.1979  |
|          |      5  |      1.1006  |     0.8848  |   0.8545  |               |             10.5700  |
|          |      6  |      1.0400  |     0.9229  |   0.8964  |               |             10.9403  |
|          |      7  |      1.0176  |     0.9297  |   0.9024  |               |             11.3116  |
|          |      8  |      0.9751  |     0.9580  |   0.9203  |               |             11.6828  |
|          |      9  |      0.9531  |     0.9727  |   0.9317  |               |             12.0238  |
|          |   eval  |      0.9531  |     0.9727  |   0.9317  |       0.9391  |             12.1899  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4355  |     0.7061  |   0.6875  |               |              0.4937  |
|          |      1  |      1.3066  |     0.7666  |   0.6403  |               |              0.8982  |
|          |      2  |      1.1934  |     0.8525  |   0.8187  |               |              1.3007  |
|          |      3  |      1.1914  |     0.8408  |   0.8035  |               |              1.6733  |
|          |      4  |      1.1201  |     0.8848  |   0.8506  |               |              2.0452  |
|          |      5  |      1.1064  |     0.9004  |   0.8867  |               |              2.4160  |
|          |      6  |      1.0654  |     0.9131  |   0.8868  |               |              2.7866  |
|          |      7  |      1.0293  |     0.9287  |   0.9054  |               |              3.1582  |
|          |      8  |      0.9839  |     0.9600  |   0.9234  |               |              3.5295  |
|          |      9  |      0.9346  |     0.9883  |   0.9344  |               |              3.8711  |
|          |   eval  |      0.9346  |     0.9883  |   0.9344  |       0.9420  |              4.0368  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4658  |     0.6689  |   0.6096  |               |              0.4968  |
|          |      1  |      1.2764  |     0.8115  |   0.8048  |               |              0.8999  |
|          |      2  |      1.2051  |     0.8389  |   0.8110  |               |              1.3078  |
|          |      3  |      1.1738  |     0.8496  |   0.8202  |               |              1.6808  |
|          |      4  |      1.1328  |     0.8750  |   0.8552  |               |              2.0525  |
|          |      5  |      1.1143  |     0.8818  |   0.8614  |               |              2.4254  |
|          |      6  |      1.0400  |     0.9199  |   0.8780  |               |              2.7974  |
|          |      7  |      1.0312  |     0.9248  |   0.9000  |               |              3.1693  |
|          |      8  |      0.9795  |     0.9609  |   0.9294  |               |              3.5407  |
|          |      9  |      0.9517  |     0.9697  |   0.9358  |               |              3.8825  |
|          |   eval  |      0.9517  |     0.9697  |   0.9358  |       0.9426  |              4.0496  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4287  |     0.7217  |   0.6725  |               |              0.4984  |
|          |      1  |      1.2705  |     0.8057  |   0.7631  |               |              0.9027  |
|          |      2  |      1.1973  |     0.8516  |   0.8057  |               |              1.3116  |
|          |      3  |      1.1895  |     0.8428  |   0.8025  |               |              1.6854  |
|          |      4  |      1.1777  |     0.8506  |   0.8253  |               |              2.0588  |
|          |      5  |      1.1035  |     0.8965  |   0.8620  |               |              2.4316  |
|          |      6  |      1.0312  |     0.9316  |   0.8823  |               |              2.8038  |
|          |      7  |      1.0244  |     0.9404  |   0.9066  |               |              3.1769  |
|          |      8  |      0.9775  |     0.9570  |   0.9238  |               |              3.5485  |
|          |      9  |      0.9468  |     0.9775  |   0.9339  |               |              3.8914  |
|          |   eval  |      0.9468  |     0.9775  |   0.9339  |       0.9391  |              4.0586  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4707  |     0.6826  |   0.5937  |               |              0.5013  |
|          |      1  |      1.2891  |     0.7852  |   0.7626  |               |              0.9056  |
|          |      2  |      1.1680  |     0.8604  |   0.8116  |               |              1.3143  |
|          |      3  |      1.1660  |     0.8662  |   0.8131  |               |              1.6866  |
|          |      4  |      1.1367  |     0.8701  |   0.8451  |               |              2.0621  |
|          |      5  |      1.0967  |     0.8906  |   0.8820  |               |              2.4345  |
|          |      6  |      1.0508  |     0.9131  |   0.8920  |               |              2.8076  |
|          |      7  |      1.0156  |     0.9385  |   0.9055  |               |              3.1828  |
|          |      8  |      0.9756  |     0.9619  |   0.9220  |               |              3.5564  |
|          |      9  |      0.9497  |     0.9756  |   0.9275  |               |              3.9003  |
|          |   eval  |      0.9497  |     0.9756  |   0.9275  |       0.9385  |              4.0681  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4424  |     0.6953  |   0.7088  |               |              0.4983  |
|          |      1  |      1.3105  |     0.7754  |   0.7906  |               |              0.9038  |
|          |      2  |      1.2031  |     0.8477  |   0.7816  |               |              1.3133  |
|          |      3  |      1.1621  |     0.8584  |   0.7924  |               |              1.6867  |
|          |      4  |      1.1533  |     0.8584  |   0.8269  |               |              2.0621  |
|          |      5  |      1.0840  |     0.8965  |   0.8658  |               |              2.4358  |
|          |      6  |      1.0342  |     0.9365  |   0.8845  |               |              2.8112  |
|          |      7  |      1.0352  |     0.9229  |   0.8995  |               |              3.1851  |
|          |      8  |      0.9717  |     0.9561  |   0.9227  |               |              3.5584  |
|          |      9  |      0.9453  |     0.9805  |   0.9324  |               |              3.9051  |
|          |   eval  |      0.9453  |     0.9805  |   0.9324  |       0.9396  |              4.0723  |
------------------------------------------------------------------------------------------------------
|       6  |      0  |      1.4365  |     0.7197  |   0.6481  |               |              0.4956  |
|          |      1  |      1.2725  |     0.7979  |   0.7014  |               |              0.9024  |
|          |      2  |      1.2100  |     0.8457  |   0.7594  |               |              1.3117  |
|          |      3  |      1.1445  |     0.8633  |   0.8204  |               |              1.6848  |
|          |      4  |      1.1475  |     0.8730  |   0.8467  |               |              2.0606  |
|          |      5  |      1.0957  |     0.8945  |   0.8575  |               |              2.4342  |
|          |      6  |      1.0566  |     0.9131  |   0.8592  |               |              2.8099  |
|          |      7  |      1.0166  |     0.9404  |   0.8993  |               |              3.1852  |
|          |      8  |      0.9922  |     0.9434  |   0.9208  |               |              3.5601  |
|          |      9  |      0.9424  |     0.9795  |   0.9301  |               |              3.9052  |
|          |   eval  |      0.9424  |     0.9795  |   0.9301  |       0.9376  |              4.0728  |
------------------------------------------------------------------------------------------------------
|       7  |      0  |      1.4287  |     0.7129  |   0.6486  |               |              0.5027  |
|          |      1  |      1.3799  |     0.7471  |   0.6693  |               |              0.9100  |
|          |      2  |      1.2129  |     0.8369  |   0.7747  |               |              1.3206  |
