------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.5908  |     0.6016  |   0.5404  |               |              7.0807  |
|          |      1  |      1.4404  |     0.6992  |   0.6509  |               |              7.3396  |
|          |      2  |      1.3066  |     0.7920  |   0.7426  |               |              7.6000  |
|          |      3  |      1.2422  |     0.8154  |   0.7601  |               |              7.8551  |
|          |      4  |      1.1865  |     0.8408  |   0.7961  |               |              8.1008  |
|          |      5  |      1.1680  |     0.8535  |   0.8010  |               |              8.3347  |
|          |      6  |      1.1035  |     0.8877  |   0.8635  |               |              8.5695  |
|          |      7  |      1.0781  |     0.8984  |   0.8839  |               |              8.8040  |
|          |      8  |      1.0400  |     0.9346  |   0.9047  |               |              9.0382  |
|          |      9  |      1.0000  |     0.9482  |   0.9129  |               |              9.2544  |
|          |   eval  |      1.0000  |     0.9482  |   0.9129  |       0.9233  |              9.3572  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.5771  |     0.6309  |   0.5724  |               |              0.3495  |
|          |      1  |      1.4209  |     0.6992  |   0.6230  |               |              0.6096  |
|          |      2  |      1.2832  |     0.7969  |   0.6745  |               |              0.8677  |
|          |      3  |      1.2734  |     0.7979  |   0.7939  |               |              1.1047  |
|          |      4  |      1.1826  |     0.8408  |   0.7835  |               |              1.3403  |
|          |      5  |      1.1523  |     0.8584  |   0.7962  |               |              1.5748  |
|          |      6  |      1.1123  |     0.8877  |   0.8606  |               |              1.8071  |
|          |      7  |      1.0615  |     0.9121  |   0.8770  |               |              2.0432  |
|          |      8  |      1.0273  |     0.9365  |   0.9047  |               |              2.2780  |
|          |      9  |      0.9814  |     0.9609  |   0.9155  |               |              2.4990  |
|          |   eval  |      0.9814  |     0.9609  |   0.9155  |       0.9243  |              2.6026  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.5869  |     0.5947  |   0.5600  |               |              0.3541  |
|          |      1  |      1.4316  |     0.7080  |   0.6347  |               |              0.6147  |
|          |      2  |      1.3008  |     0.7881  |   0.7386  |               |              0.8748  |
|          |      3  |      1.2588  |     0.8076  |   0.7646  |               |              1.1112  |
|          |      4  |      1.1953  |     0.8389  |   0.7888  |               |              1.3461  |
|          |      5  |      1.1729  |     0.8574  |   0.8466  |               |              1.5812  |
|          |      6  |      1.1221  |     0.8877  |   0.8545  |               |              1.8150  |
|          |      7  |      1.0859  |     0.9023  |   0.8828  |               |              2.0512  |
|          |      8  |      1.0400  |     0.9268  |   0.9052  |               |              2.2859  |
|          |      9  |      1.0020  |     0.9434  |   0.9159  |               |              2.5026  |
|          |   eval  |      1.0020  |     0.9434  |   0.9159  |       0.9218  |              2.6058  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.5732  |     0.5938  |   0.5512  |               |              0.3510  |
|          |      1  |      1.3926  |     0.7314  |   0.7083  |               |              0.6118  |
|          |      2  |      1.3662  |     0.7275  |   0.6901  |               |              0.8735  |
|          |      3  |      1.2363  |     0.8213  |   0.7539  |               |              1.1091  |
|          |      4  |      1.2021  |     0.8379  |   0.8203  |               |              1.3453  |
|          |      5  |      1.1533  |     0.8691  |   0.8479  |               |              1.5800  |
|          |      6  |      1.1133  |     0.8779  |   0.8473  |               |              1.8153  |
|          |      7  |      1.0859  |     0.8916  |   0.8679  |               |              2.0507  |
|          |      8  |      1.0430  |     0.9209  |   0.8926  |               |              2.2872  |
|          |      9  |      1.0000  |     0.9414  |   0.9168  |               |              2.5042  |
|          |   eval  |      1.0000  |     0.9414  |   0.9168  |       0.9237  |              2.6083  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.5557  |     0.6426  |   0.6204  |               |              0.3580  |
|          |      1  |      1.4629  |     0.6777  |   0.6789  |               |              0.6180  |
|          |      2  |      1.2920  |     0.7861  |   0.7674  |               |              0.8780  |
|          |      3  |      1.2344  |     0.8184  |   0.7676  |               |              1.1142  |
|          |      4  |      1.1973  |     0.8359  |   0.7872  |               |              1.3500  |
|          |      5  |      1.1631  |     0.8682  |   0.8369  |               |              1.5856  |
|          |      6  |      1.1143  |     0.8760  |   0.8483  |               |              1.8210  |
|          |      7  |      1.0957  |     0.8975  |   0.8780  |               |              2.0584  |
|          |      8  |      1.0488  |     0.9170  |   0.9051  |               |              2.2937  |
|          |      9  |      0.9956  |     0.9541  |   0.9160  |               |              2.5096  |
|          |   eval  |      0.9956  |     0.9541  |   0.9160  |       0.9229  |              2.6138  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.5537  |     0.6348  |   0.6031  |               |              0.3565  |
|          |      1  |      1.4717  |     0.6719  |   0.6411  |               |              0.6172  |
|          |      2  |      1.3066  |     0.7871  |   0.7143  |               |              0.8762  |
|          |      3  |      1.2568  |     0.8105  |   0.7472  |               |              1.1143  |
|          |      4  |      1.1973  |     0.8457  |   0.8303  |               |              1.3501  |
